[25]
清水寺|Kiyomizu-dera
伏見稲荷大社|Fushimi Inari-taisha
鹿苑寺|Kinkaku-ji
慈照寺|Ginkaku-ji
嵐山|Arashiyama
天龍寺|Tenryū-ji
二条城|Nijō Castle
八坂神社|Yasaka Shrine
錦市場|Nishiki Market
南禅寺|Nanzen-ji
哲学の道|Philosopher's Path
平安神宮|Heian Shrine
東寺|Tō-ji
三十三間堂|Sanjūsangen-dō
北野天満宮|Kitano Tenmangū
龍安寺|Ryōan-ji
仁和寺|Ninna-ji
東福寺|Tōfuku-ji
禅林寺 (京都市)|Eikan-dō Zenrin-ji
貴船神社|Kifune Shrine
鞍馬寺|Kurama-dera
三千院|Sanzen-in
平等院|Byōdō-in
宇治上神社|Ujigami Shrine
天橋立|Amanohashidate
伊根の舟屋|Funaya
美山町北|Miyama, Kyoto
京都鉄道博物館|Kyoto Railway Museum
醍醐寺|Daigo-ji
京都御所|Kyoto Imperial Palace
賀茂御祖神社|Shimogamo Shrine
賀茂別雷神社|Kamigamo Shrine
桂離宮|Katsura Imperial Villa
嵯峨野観光鉄道|Sagano Scenic Railway
保津峡|Hozugawa River
瑠璃光院|Rurikō-in
[26]
大阪城|Osaka Castle
道頓堀|Dōtonbori
心斎橋|Shinsaibashi
ユニバーサル・スタジオ・ジャパン|Universal Studios Japan
海遊館|Osaka Aquarium Kaiyukan
通天閣|Tsūtenkaku
梅田スカイビル|Umeda Sky Building
あべのハルカス|Abeno Harukas
黒門市場|Kuromon Ichiba Market
難波八阪神社|Namba Yasaka Shrine
四天王寺|Shitennō-ji
住吉大社|Sumiyoshi-taisha
大阪天満宮|Osaka Tenmangū
中之島公園|Nakanoshima Park
万博記念公園|Expo Commemoration Park
箕面滝|Minoh Falls
勝尾寺|Katsuo-ji
大仙陵古墳|Daisen Kofun
大阪中之島美術館|Nakanoshima Museum of Art, Osaka
大阪くらしの今昔館|Osaka Museum of Housing and Living
長居植物園|Nagai Botanical Garden
天王寺動物園|Tennoji Zoo
[27]
彦根城|Hikone Castle
八幡堀|Hachiman-bori Canal
琵琶湖汽船|Biwako Kisen
びわ湖バレイ|Biwako Valley
白鬚神社|Shirahige Shrine
延暦寺|Enryaku-ji
MIHO MUSEUM|Miho Museum
黒壁スクエア|Kurokabe Square
海津大崎|Kaizu Osaki
マキノピックランド|Makino, Shiga
[28]
姫路城|Himeji Castle
メリケンパーク|Meriken Park
北野町山本通|Kitano-chō
南京町|Nankin-machi
神戸布引ハーブ園|Nunobiki Herb Garden
有馬温泉|Arima Onsen
六甲山|Mount Rokkō
掬星台|Kikuseidai
城崎温泉|Kinosaki Onsen
竹田城|Takeda Castle
出石|Izushi
淡路夢舞台|Awaji Yumebutai
あわじ花さじき|Awaji Hanasajiki
ニジゲンノモリ|Nijigen no Mori
舞子公園|Maiko Park
圓教寺 (姫路市)|Engyō-ji
[29]
奈良公園|Nara Park
東大寺|Tōdai-ji
春日大社|Kasuga-taisha
興福寺|Kōfuku-ji
ならまち|Naramachi
若草山|Mount Wakakusa
法隆寺|Hōryū-ji
薬師寺|Yakushi-ji
唐招提寺|Tōshōdai-ji
吉野山|Mount Yoshino
長谷寺|Hase-dera
室生寺|Murō-ji
談山神社|Tanzan Shrine
石舞台古墳|Ishibutai Kofun
大神神社|Ōmiwa Shrine
平城宮|Heijō Palace
[30]
奥之院|Okunoin
金剛峯寺|Kongōbu-ji
熊野本宮大社|Kumano Hongū Taisha
那智滝|Nachi Falls
熊野速玉大社|Kumano Hayatama Taisha
大門坂|Daimonzaka
白良浜|Shirarahama
千畳敷 (和歌山県)|Senjōjiki
三段壁|Sandanbeki
円月島|Engetsu Island
アドベンチャーワールド|Adventure World (Japan)
和歌山城|Wakayama Castle
橋杭岩|Hashigui-iwa
友ヶ島|Tomogashima
[31]
鳥取砂丘|Tottori Sand Dunes
砂の美術館|Sand Museum
浦富海岸|Uradome Coast
白兎神社|Hakuto Shrine
倉吉市打吹玉川|Utsubuki-Tamagawa
三朝温泉|Misasa Onsen
三仏寺|Sanbutsu-ji
大山 (鳥取県)|Mount Daisen
水木しげるロード|Mizuki Shigeru Road
青山剛昌ふるさと館|Gosho Aoyama Manga Factory
とっとり花回廊|Tottori Hanakairō Flower Park
[32]
出雲大社|Izumo-taisha
稲佐の浜|Inasa Beach
出雲日御碕灯台|Izumo Hinomisaki Lighthouse
松江城|Matsue Castle
宍道湖|Lake Shinji
足立美術館|Adachi Museum of Art
玉造温泉|Tamatsukuri Onsen
石見銀山|Iwami Ginzan Silver Mine
津和野町|Tsuwano
国賀海岸|Kuniga Coast
[33]
後楽園|Kōraku-en
岡山城|Okayama Castle
倉敷美観地区|Kurashiki Bikan Historical Quarter
大原美術館|Ōhara Museum of Art
備中松山城|Bitchū Matsuyama Castle
吉備津神社|Kibitsu Shrine
備中国分寺|Bitchū Kokubun-ji
蒜山高原|Hiruzen
津山城|Tsuyama Castle
